index,Proportion,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,has_zebra
8098,20.0,-0.10079317178846584,1.5523501097189991,0.5805373425846055,2224,111215.65452034568,161016.99305725467,152332.09427942475,-1.357102062008604,36.84000661000945,1,0.5139366365312654,7.264475009983327,3344,19,16,1
8107,50.0,-0.09779289018697583,1.4948227528257942,0.6055880341372444,2224,126324.58558104285,170797.71213104698,163691.71652089045,-1.3572099860157645,36.840170584243324,1,0.5354039066552613,7.422087222785512,3344,19,16,1
8109,30.0,-0.1048537129696917,1.5105564095342696,0.612444030037964,2224,105595.30627142267,163340.52276027526,196655.99490367828,-1.3572100245450192,36.84017068907421,1,0.542040112210882,8.966753794732957,3344,19,16,1
8111,30.0,-0.10498877866725756,1.5139500839981217,0.6094535457781701,2224,100512.112200747,162309.79623423846,200981.57863401863,-1.3572102126145362,36.840170803199655,1,0.5394558687154153,9.034932947752454,3344,19,16,1
8113,50.0,-0.10386497058322627,1.4926165643651583,0.6122063024961605,2224,116205.23258968256,162234.02390004386,193704.32296386387,-1.3572101428997836,36.84017086226852,1,0.5417381871161915,8.1091032443249,3344,19,16,1
8119,60.0,-0.08288168144543588,1.6199204050088312,0.5733905432251692,2224,126329.18477555196,165733.54773491097,150905.59577504813,-1.3572102916008426,36.84017052161724,1,0.5060003207288399,5.959325098558184,3344,19,16,1
812,50.0,-0.027696816178464968,1.5246256232971576,0.6433618549636109,3456,111601.96286231806,128191.0239057322,166619.58767270498,-1.349706,36.805854,1,0.5614438685349763,12.03853132169589,5184,1,17,1
8121,55.5555555556,-0.08942260071407196,1.5711145328044551,0.5788165421205129,2224,147639.09884316626,162533.47566086196,155388.30971973258,-1.3572103110391949,36.84017048092869,1,0.5113443588054497,5.4645988445179965,3344,19,16,1
8127,77.7777777778,-0.08022667577272989,1.6329686300106914,0.5693239019142816,2224,124786.43179136992,159755.17670736054,144683.00478478996,-1.3798358735814198,36.88404935870996,1,0.5022120593020261,5.353908416615062,3344,19,17,1
8128,30.0,-0.09266974184006402,1.6137260567439382,0.5637364093448403,2224,121141.68959000953,174936.51023499927,149123.495077812,-1.3799131400208986,36.88405556000071,1,0.4985605092736121,4.7116142081048515,3344,19,17,1
8135,50.0,-0.10299662851394577,1.5211831472035242,0.5998163131743011,2224,99714.8209556745,159012.55269820685,150230.67714758602,-1.3800510967909914,36.88404567967538,1,0.5308934537121675,8.953145643503131,3344,19,17,1
8139,70.0,-0.07067019619029191,1.5700191010815805,0.6087545493255688,2224,94300.14270608974,169263.9227348817,162599.93290144848,-1.3800506234332781,36.88405123468387,1,0.5355356019463056,7.729841520233957,3344,19,17,1
8141,50.0,-0.07585766622201845,1.6215605466741596,0.576067085015759,2224,104499.70286826443,144650.11942753452,133388.16451827934,-1.3800509428223844,36.88405156968139,1,0.5076468287177578,8.181917524620268,3344,19,17,1
8143,66.6666666667,-0.06471320053004567,1.6857420601202031,0.5611864373565049,2224,114650.39258860926,161597.64759302654,141391.5072091987,-1.3800510654742189,36.884051711612685,1,0.4936468437350812,5.5462765632947,3344,19,17,1
8160,80.0,-0.08040313007254804,1.6955804493914957,0.5351851712353751,2224,126476.38195946133,171673.5989219076,165829.02519630134,-1.380286401170691,36.88406743205721,1,0.4725790658169785,5.133882257553071,3344,19,17,1
8161,60.0,-0.0849853255186274,1.7304038957469043,0.52254367740584,2224,110354.95610176383,172436.31715621855,204302.10437215012,-1.3803833845366105,36.884073849675175,1,0.4620421013921009,6.779159140232872,3344,19,17,1
8167,90.0,-0.07566248268508237,1.6704477874711472,0.5597562033827379,2224,127317.9790101234,157780.34849372087,133428.6706230045,-1.3828308899979207,36.88786802000379,1,0.4934617261222562,5.232981653426698,3344,19,17,1
8170,60.0,-0.04692341415487089,1.729926392772781,0.5621433366936958,2224,120802.22134845956,159467.2451069498,135698.88375943096,-1.3829538226895122,36.887924971821796,1,0.492760468213979,4.726591933799807,3344,19,17,1
8173,100.0,-0.061782008957520514,1.700494957136618,0.5607706421065322,2224,124368.45979074527,152483.46825147964,125022.56930739435,-1.382954352687177,36.88792349180983,1,0.4930027364983661,5.83176493501678,3344,19,17,1
