GID,ANNOTATION_ID
4492,[18442]
4502,[]
1190,[13376]
1229,[13358]
4915,[]
3490,[]
3945,[18025]
2576,[16863]
2243,"[14710, 14711, 14712]"
4436,[10001]
1406,[]
3451,"[12544, 12545]"
1743,[14914]
3250,[12529]
536,"[15955, 15956]"
4736,[]
3500,"[12227, 12228, 12229]"
1919,[14824]
479,[15388]
4627,[17954]
3123,[8945]
3291,[12706]
3567,[12150]
157,"[15529, 15530]"
2867,[16900]
4384,[]
4528,[]
3218,[]
2167,"[9502, 9503]"
3446,[12740]
4381,[]
4575,"[17966, 17967]"
2274,"[14032, 14033]"
3092,[]
3095,"[9152, 9153]"
2265,[]
3784,[]
1939,[]
1797,[15236]
2488,[]
1097,"[9452, 9453]"
4472,[]
4946,[12441]
256,"[15444, 15445]"
2542,[16799]
4166,[]
1055,[15584]
3868,[]
3644,[10025]
4786,[]
295,[15506]
1422,[]
3261,"[12499, 12500, 12501]"
2217,[14273]
2541,[16767]
1703,[]
2577,[16706]
23,[9323]
27,[13417]
2168,[15259]
752,"[14140, 14141]"
2457,"[14656, 14657, 14658]"
1397,[]
2969,[16956]
2411,[]
4363,[]
1709,[]
1250,[9674]
1458,[]
4425,"[18321, 18322]"
2241,"[14745, 14746]"
2912,[]
3619,"[17970, 17971]"
634,[16188]
28,[13424]
3859,[]
3007,[13899]
4503,[]
3699,[18099]
1489,[]
1285,[]
2106,"[9237, 9238]"
4910,[]
780,[14211]
790,[14122]
3404,[]
1315,[9665]
3420,[]
423,[15962]
1855,[14412]
1007,[15902]
3370,[12661]
4290,[]
1364,[]
1367,[]
1410,"[12396, 12397]"
3229,[12681]
2869,"[17330, 17331]"
4080,[]
3310,"[9059, 9060, 9061, 9062]"
3433,[12633]
4963,[13004]
2667,[17145]
2777,[17276]
1899,"[15832, 15833]"
4122,[]
815,[15594]
4045,"[18764, 18765, 18766, 18767]"
2974,[16848]
3013,[17021]
4722,[]
1000,[15606]
4446,[]
1352,[]
3897,[]
3074,[]
1305,"[12303, 12304, 12305, 12306]"
1675,[15093]
3994,[18731]
2681,"[17304, 17305, 17306]"
1351,[]
3892,[]
683,[]
553,[15409]
2828,"[9945, 9946]"
452,[15952]
