GID,ANNOTATION_ID
6731,[17876]
4905,[12484]
4275,"[18497, 18498, 18499, 18500]"
681,[]
2200,[]
23,[9323]
4900,[]
634,[16188]
7983,"[10458, 10459, 10460]"
3248,[12520]
5692,[]
619,[]
5198,[9584]
503,[]
1254,"[12778, 12779, 12780, 14223]"
3727,[]
5702,[13826]
1952,[14337]
1971,"[14282, 14283, 14284]"
27,[13417]
3404,[]
3609,[18038]
5373,[]
2900,[16755]
966,[]
900,"[9421, 9422]"
4918,[12481]
7741,[13244]
9065,[11865]
270,[15454]
645,[14240]
7746,[]
5727,[13827]
5617,[]
24,[]
4489,[]
5076,"[14522, 14523]"
6811,[17581]
4507,[]
849,[15605]
7835,"[10223, 10224]"
8502,[11130]
670,[]
5777,[]
784,[14175]
7895,[8879]
922,[9501]
5513,[12938]
8135,"[10719, 10720, 10721]"
5668,[13855]
8338,[8829]
8943,[11740]
9258,[]
4324,[]
575,[16127]
5657,[]
4778,[15770]
348,[13277]
7432,[]
9094,[]
1032,[]
592,[]
3323,[]
1538,"[14874, 14875, 14876]"
5197,[9593]
8184,[]
8340,[9021]
7687,[]
3656,[]
9007,[11767]
4916,[12483]
531,[15384]
7796,"[10162, 10163]"
3273,[]
3818,[]
3086,[9130]
1257,[12379]
678,[]
4938,"[12449, 12450]"
223,[9230]
586,"[9347, 9348, 9349]"
6529,[17719]
2690,"[17140, 17141]"
7861,"[10279, 10280, 10281]"
1117,[]
5678,"[13833, 13834]"
3106,[12532]
400,[13305]
7041,[13121]
982,[9445]
7404,[]
1956,[14773]
182,[]
6139,[13790]
1175,[13371]
841,[9538]
15,[9325]
7949,[10405]
5259,"[15959, 15960, 15961]"
8924,"[11697, 11698]"
5761,[]
4814,[10024]
1329,"[12757, 12758, 12759]"
4075,[10043]
1844,"[14701, 14702]"
8318,[8828]
428,[16049]
1834,[15171]
6616,[17363]
3122,"[9099, 9100]"
4988,"[12998, 12999]"
2024,[]
2278,"[14398, 14399]"
455,[15985]
953,[]
5711,"[9278, 9279]"
8479,"[11100, 11101]"
8141,"[10731, 10732, 10733]"
560,[]
8850,"[11575, 11576]"
4970,[]
8403,[11002]
311,[9216]
8500,[11127]
5003,[12985]
1337,[]
7332,[13644]
4876,[]
34,[13429]
758,[14127]
8213,[10832]
7933,[10381]
3274,[12683]
9384,[12092]
973,[]
3320,[9038]
7791,[10154]
7353,[13735]
2762,"[17076, 17077, 17078]"
7758,[13261]
4712,[]
7719,"[9732, 9733]"
4259,[18055]
4587,"[18309, 18310, 18311, 18312, 18313, 18314]"
6586,[17507]
4919,[12471]
981,[9461]
481,[]
4941,[12480]
398,[13274]
6947,[13203]
604,[]
4323,[]
1781,[14396]
321,[15449]
4997,[13012]
2491,[14395]
1306,"[12283, 12284, 12285, 12286]"
303,[]
1937,[14608]
5749,[]
8233,[10850]
1170,[13336]
93,[]
2419,[15149]
6585,[17526]
2943,[17107]
130,[15447]
77,[13434]
1869,[13961]
4649,"[18739, 18740, 18741, 18742]"
8333,[8898]
827,"[15663, 15664]"
3326,[]
793,[14094]
7960,[10420]
1289,[]
8186,[]
1255,"[12359, 12360, 12361, 12362, 12363]"
92,[]
172,[]
804,[]
1178,[13342]
8820,"[11531, 11653]"
8422,"[11030, 11031]"
1332,"[9681, 9682, 9683, 9684, 12393, 12394]"
2718,[16951]
3196,[12511]
963,[9457]
3088,[8947]
716,[14097]
6431,[17703]
1152,[9266]
8444,[11059]
6919,[9657]
408,[]
888,[15631]
8766,[11476]
739,[14161]
350,[13267]
1992,"[14736, 14737, 14738]"
5012,[13005]
5770,[]
5713,[9269]
515,[9361]
2031,[]
178,[]
102,[]
5717,[]
3805,[]
460,[15994]
595,"[15421, 15422, 15423]"
3118,"[12575, 12576]"
8345,"[9147, 9148]"
7783,[]
8349,[8807]
8809,[11520]
3464,[]
71,[13398]
826,"[15598, 15599]"
6916,[]
4345,[]
7771,[]
2735,[17099]
865,[15861]
9174,[8838]
7511,"[16671, 16672]"
5220,[16005]
1292,[]
3312,[12433]
1159,[13384]
4421,[18575]
8549,[11188]
651,[14185]
5052,[16244]
18,[9334]
4544,[]
5463,"[9875, 9876]"
9184,[]
3246,[12641]
1333,"[9690, 9691, 9692]"
516,[9341]
366,"[13301, 13302]"
5700,[13817]
1321,[12420]
1105,"[9541, 9542]"
4723,[]
4923,[]
7282,[9307]
9332,[8969]
5443,[]
8008,[10487]
402,[13312]
4851,"[18040, 18041]"
6864,[]
5753,[13847]
5739,[]
8037,[10542]
3130,"[12592, 12593, 12594]"
919,[]
4759,[]
8725,[11427]
3085,[9083]
5379,[]
273,[15452]
5377,[]
4982,[]
