index,height,lat,long,rotation,width,arousal,contrast,dominance,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,pleasure,symmetry,day,hour
1030,3072,0.0,0.0,0,4608,0.014637821129465073,2.3100392447432467,0.4176881149096572,56049.864341693305,122315.25193956804,141974.3657433349,0.3613555868099736,7.770307622872939,6,10
1031,686,34.149708,-118.286383,0,1024,0.1381277106809612,3.7689953651595363,0.3513879940807472,97349.98075957123,82926.72626457649,171521.04810067933,0.291850946421536,10.84359759770114,6,11
1032,1365,0.0,0.0,0,2048,0.010885310711060303,2.2785657742459917,0.44831591125678133,88500.8355265016,143608.01365884845,40109.83005310405,0.38831858745300274,7.558307218815426,3,11
1033,682,0.0,0.0,0,1024,-0.030927601398331755,2.0029067631940993,0.47711536481092853,71494.77182439443,133247.42469046073,227978.21619083596,0.41736806258425846,6.473550060126434,11,11
1034,2592,43.647403,-79.456429,0,1944,-0.1563874199628522,1.6374822490376304,0.4497309211379568,66744.02691377459,303051.1215003832,124406.39630126204,0.4056963542556406,8.460053706963357,23,19
1035,1883,0.0,0.0,0,2835,-0.019876061200981607,2.2961727935781213,0.41771929905702065,106475.83868366048,157895.27152768066,60070.13077691404,0.3647147026038688,14.944366732582598,17,11
1036,1024,0.0,0.0,0,643,-0.05253210922649293,2.3542451206912465,0.3880842500709448,67731.76584062229,186373.0618148449,54182.84972407987,0.3421288660640303,13.1075937697578,25,13
1037,1024,33.856375,-115.467681,0,687,-0.014039120270092964,1.9956424825060135,0.5092546054934052,89820.43671310741,124818.1910998553,33929.54538451702,0.443651058385081,13.415430805691754,30,14
1038,1024,40.718005,-89.57399,0,683,-0.02719234906501941,1.9852913115893553,0.4948361205121969,76670.51846737151,146175.20859242853,26888.635273826912,0.4323982118531454,11.790775496360462,29,11
1039,4000,53.225005,-2.885862,0,6000,-0.02150202723024558,1.8817214035937553,0.5015502939732166,95608.30513901789,126913.34291807146,35473.713200371654,0.4376802240875832,8.980638722829122,16,11
104,2816,0.0,0.0,0,2112,0.04617132367026386,2.6314781099240308,0.411075537179177,112581.12846817031,156157.88545135976,64826.85021398669,0.35256815756317184,7.9691069786197986,18,11
1040,3456,0.0,0.0,0,4608,0.029534298158680555,1.8627038354325036,0.5410096827507721,143114.8854364912,109260.48868937024,69285.66710366582,0.46702419063601774,15.984483193068492,26,23
1041,1536,0.0,0.0,0,2048,-0.11850903151980449,1.7601977335987724,0.4463700801477327,37886.862162232435,245855.1188815071,31683.70547563316,0.39912056328656015,9.466783281403416,14,17
