index,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,numAnimals,zebra
3520,-0.05693378024194426,2.178708636109695,0.42350729401589055,4000,76476.415092425,188604.12687107356,229263.35869523985,-1.371868,36.807556,1,0.3733192863750551,7.1467677577611735,6000,27,15,2,1
3521,-0.0452909962102649,2.093334682031983,0.4516740191302844,4000,110170.6795275202,162874.406568988,222891.41947643974,-1.3718190000000001,36.807409,1,0.3966585184104707,5.978294867380668,6000,27,15,1,1
3522,-0.08235814512178903,1.7494193762191503,0.5311681926784391,4000,95350.63474734827,171394.72663649835,180011.87553479784,-1.3718190000000001,36.807409,1,0.4692789969165548,8.291636615545013,6000,27,15,2,1
3523,-0.0782539967809345,1.7653372135411345,0.5287653706872516,4000,95430.39833506348,172780.80056418304,168206.83134429733,-1.3718190000000001,36.807409,1,0.4667958861182471,9.132527415523253,6000,27,15,2,1
3524,-0.05381049491596944,2.185922364720438,0.4283153385886424,4000,80893.80325292055,182195.56485161762,220896.93172055503,-1.3718190000000001,36.807409,1,0.3771936217488099,7.410167895253631,6000,27,15,2,1
3525,-0.05277227391675411,2.172856792144827,0.4292782356613657,4000,77290.24617454794,175305.5900591878,197021.86324421514,-1.3718190000000001,36.807409,1,0.37792968140822863,7.924579426814839,6000,27,15,2,1
3526,-0.046133034981378274,2.285992355323828,0.41068541934583225,4000,90299.71754600835,187551.1056485672,257678.8425363807,-1.3718190000000001,36.807409,1,0.3611405617499319,5.9397828019676195,6000,27,15,2,1
3527,-0.04072181440143892,2.3426340056664454,0.4005242009349248,4000,90240.43115508457,183481.46522087732,261491.13132231124,-1.3717469999999998,36.807212,1,0.3517929736000321,5.614406732884784,6000,27,15,2,1
3528,-0.04401753206470151,2.2685494747644115,0.4197692746999843,4000,83475.87975510582,173052.40454151452,243258.38433146663,-1.3717469999999998,36.807212,1,0.3688257996739921,6.935872849279307,6000,27,15,2,1
3529,-0.024550650472889467,2.398873166389236,0.3928817462306293,4000,110435.24627078482,163969.18086274632,227192.72964942246,-1.3717469999999998,36.807212,1,0.3435941874959588,7.0292334068947335,6000,27,15,3,1
