AID,GID,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
14892,2251,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_0566,839,good,Male,zebra_plains,left
14893,2251,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1221,1494,ok,Female,zebra_plains,left
14251,750,adult,"NNP GZC Car '14WHITE', Person 'A'",0,IBEIS_PZ_1277,1550,good,Male,zebra_plains,left
14252,750,infant,"NNP GZC Car '14WHITE', Person 'A'",0,____,-14252,junk,UNKNOWN NAME,zebra_plains,left
13860,5667,adult,"NNP GZC Car '4RED', Person 'A'",1,IBEIS_PZ_0539,812,ok,Female,zebra_plains,left
13867,5662,adult,"NNP GZC Car '4RED', Person 'A'",1,IBEIS_PZ_0502,775,ok,Female,zebra_plains,left
9029,3292,juveniles- two year old,"NNP GZC Car '1WHITE', Person 'B'",1,NNP_GIRM_0083,108,ok,Female,giraffe_masai,left
9030,3292,infant,"NNP GZC Car '1WHITE', Person 'B'",0,____,-9030,poor,UNKNOWN NAME,giraffe_masai,back
11921,9117,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0662,935,ok,Female,zebra_plains,left
9518,2116,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,NNP_GIRM_0112,161,ok,Female,giraffe_masai,left
17758,6295,infant,"NNP GZC Car '6RED', Person 'A'",0,____,-17758,poor,UNKNOWN NAME,zebra_plains,left
15405,534,adult,"NNP GZC Car '13WHITE', Person 'B'",1,IBEIS_PZ_0885,1158,good,Male,zebra_plains,left
16150,5043,infant,"NNP GZC Car '3RED', Person 'A'",0,____,-16150,poor,UNKNOWN NAME,zebra_plains,frontright
16151,5043,infant,"NNP GZC Car '3RED', Person 'A'",0,____,-16151,good,UNKNOWN NAME,zebra_plains,frontright
12320,1242,infant,"NNP GZC Car '1BLUE', Person 'A'",1,IBEIS_PZ_1105,1378,excellent,UNKNOWN SEX,zebra_plains,left
12321,1242,adult,"NNP GZC Car '1BLUE', Person 'A'",1,IBEIS_PZ_1410,1683,ok,Male,zebra_plains,left
17560,6419,adult,"NNP GZC Car '6RED', Person 'A'",0,IBEIS_PZ_1601,1874,good,Male,zebra_plains,left
11139,8509,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0507,780,good,Male,zebra_plains,frontleft
12154,3499,juveniles- two year old,"NNP GZC Car '25PURPLE', Person 'A'",0,IBEIS_PZ_0056,329,ok,Female,zebra_plains,frontleft
12155,3499,infant,"NNP GZC Car '25PURPLE', Person 'A'",0,IBEIS_PZ_0055,328,poor,Male,zebra_plains,frontleft
12156,3499,infant,"NNP GZC Car '25PURPLE', Person 'A'",0,IBEIS_PZ_0825,1098,poor,UNKNOWN SEX,zebra_plains,frontleft
14258,2091,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1234,1507,ok,Male,zebra_plains,left
16899,2788,adult,"NNP GZC Car '1RED', Person 'B'",1,IBEIS_PZ_1697,1970,ok,Female,zebra_plains,left
12150,3567,infant,"NNP GZC Car '25PURPLE', Person 'A'",1,IBEIS_PZ_0032,305,ok,UNKNOWN SEX,zebra_plains,left
15462,133,infant,"NNP GZC Car '11WHITE', Person 'A'",1,IBEIS_PZ_1725,1998,ok,Female,zebra_plains,left
18297,4654,infant,"NNP GZC Car '2RED', Person 'C'",0,____,-18297,ok,UNKNOWN NAME,zebra_plains,backright
18298,4654,infant,"NNP GZC Car '2RED', Person 'C'",0,____,-18298,poor,UNKNOWN NAME,zebra_plains,right
18299,4654,juveniles- two year old,"NNP GZC Car '2RED', Person 'C'",1,IBEIS_PZ_1607,1880,ok,Male,zebra_plains,left
18300,4654,infant,"NNP GZC Car '2RED', Person 'C'",0,____,-18300,poor,UNKNOWN NAME,zebra_plains,frontleft
10020,4815,adult,"NNP GZC Car '2RED', Person 'D'",0,NNP_GIRM_0151,273,ok,Male,giraffe_masai,frontleft
13050,7014,adult,"NNP GZC Car '6WHITE', Person 'B'",0,IBEIS_PZ_1904,2177,excellent,Male,zebra_plains,left
9310,7278,adult,"NNP GZC Car '7WHITE', Person 'B'",1,NNP_GIRM_0141,212,good,Male,giraffe_masai,left
18019,3969,juveniles - one year old,"NNP GZC Car '2RED', Person 'A'",0,IBEIS_PZ_0598,871,ok,Female,zebra_plains,left
16083,470,infant,"NNP GZC Car '13WHITE', Person 'B'",0,____,-16083,ok,UNKNOWN NAME,zebra_plains,right
11194,8554,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0445,718,poor,Female,zebra_plains,left
17215,2756,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-17215,junk,UNKNOWN NAME,zebra_plains,left
14105,795,adult,"NNP GZC Car '14WHITE', Person 'A'",0,IBEIS_PZ_1226,1499,ok,Female,zebra_plains,left
17223,3015,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-17223,poor,UNKNOWN NAME,zebra_plains,left
13992,1582,adult,"NNP GZC Car '1PURPLE', Person 'A'",1,IBEIS_PZ_1287,1560,excellent,Male,zebra_plains,left
13848,5802,infant,"NNP GZC Car '4RED', Person 'B'",0,____,-13848,ok,UNKNOWN NAME,zebra_plains,right
11209,8565,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0447,720,poor,UNKNOWN SEX,zebra_plains,frontleft
11210,8565,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0446,719,poor,UNKNOWN SEX,zebra_plains,left
9076,9395,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,NNP_GIRM_0072,96,ok,UNKNOWN SEX,giraffe_masai,right
9077,9395,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,NNP_GIRM_0052,71,ok,UNKNOWN SEX,giraffe_masai,backleft
17567,6684,infant,"NNP GZC Car '6RED', Person 'B'",0,____,-17567,poor,UNKNOWN NAME,zebra_plains,left
14816,1544,adult,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_0571,844,good,Male,zebra_plains,left
14758,1747,adult,"NNP GZC Car '1PURPLE', Person 'B'",0,IBEIS_PZ_1224,1497,good,Male,zebra_plains,left
10116,6781,infant,"NNP GZC Car '6RED', Person 'B'",0,____,-10116,ok,UNKNOWN NAME,giraffe_masai,right
10117,6781,infant,"NNP GZC Car '6RED', Person 'B'",0,____,-10117,ok,UNKNOWN NAME,giraffe_masai,frontright
9341,516,infant,"NNP GZC Car '13WHITE', Person 'B'",0,____,-9341,junk,UNKNOWN NAME,giraffe_masai,right
18583,4232,juveniles- two year old,"NNP GZC Car '2RED', Person 'B'",0,IBEIS_PZ_0607,880,ok,Female,zebra_plains,left
18584,4232,adult,"NNP GZC Car '2RED', Person 'B'",1,IBEIS_PZ_0620,893,good,Female,zebra_plains,left
18585,4232,adult,"NNP GZC Car '2RED', Person 'B'",0,IBEIS_PZ_0618,891,good,Female,zebra_plains,left
18586,4232,infant,"NNP GZC Car '2RED', Person 'B'",0,____,-18586,poor,UNKNOWN NAME,zebra_plains,left
17118,2666,adult,"NNP GZC Car '1RED', Person 'A'",0,IBEIS_PZ_1350,1623,ok,Female,zebra_plains,left
13722,7212,adult,"NNP GZC Car '7WHITE', Person 'A'",0,IBEIS_PZ_1246,1519,ok,Female,zebra_plains,left
10814,8197,juveniles - one year old,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1,IBEIS_PZ_0072,345,ok,Female,zebra_plains,left
10815,8197,infant,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",0,IBEIS_PZ_0069,342,junk,Female,zebra_plains,backleft
12048,9235,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0708,981,ok,UNKNOWN SEX,zebra_plains,frontleft
12102,9235,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0713,986,poor,Female,zebra_plains,frontleft
17130,2657,infant,"NNP GZC Car '1RED', Person 'A'",0,____,-17130,poor,UNKNOWN NAME,zebra_plains,left
15548,121,adult,"NNP GZC Car '11WHITE', Person 'A'",0,IBEIS_PZ_1671,1944,ok,Female,zebra_plains,left
16906,2761,infant,"NNP GZC Car '1RED', Person 'B'",1,IBEIS_PZ_1637,1910,ok,Female,zebra_plains,left
16907,2761,adult,"NNP GZC Car '1RED', Person 'B'",0,IBEIS_PZ_1598,1871,ok,Female,zebra_plains,left
16908,2761,infant,"NNP GZC Car '1RED', Person 'B'",1,IBEIS_PZ_1631,1904,ok,UNKNOWN SEX,zebra_plains,left
