AID,GID,Album,Shared,Not Shared,Proportion,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
15218.0,2458,photo_album_53,5,5,50.0,infant,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1413,1686,good,Male,zebra_plains,left
15218.0,2458,photo_album_96,7,3,70.0,infant,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1413,1686,good,Male,zebra_plains,left
15219.0,2458,photo_album_53,5,5,50.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1267,1540,good,Female,zebra_plains,left
15219.0,2458,photo_album_96,7,3,70.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1267,1540,good,Female,zebra_plains,left
15220.0,2458,photo_album_53,5,5,50.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1526,1799,ok,Female,zebra_plains,left
15220.0,2458,photo_album_96,7,3,70.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1526,1799,ok,Female,zebra_plains,left
15221.0,2458,photo_album_53,5,5,50.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1892,2165,poor,Female,zebra_plains,left
15221.0,2458,photo_album_96,7,3,70.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1892,2165,poor,Female,zebra_plains,left
13270.0,389,photo_album_14,8,2,80.0,infant,"NNP GZC Car '12WHITE', Person 'A'",0,____,-13270,excellent,UNKNOWN NAME,zebra_plains,right
9365.0,518,photo_album_36,5,5,50.0,adult,"NNP GZC Car '13WHITE', Person 'B'",1,NNP_GIRM_0142,225,ok,Male,giraffe_masai,left
9366.0,518,photo_album_36,5,5,50.0,infant,"NNP GZC Car '13WHITE', Person 'B'",0,____,-9366,junk,UNKNOWN NAME,giraffe_masai,left
8798.0,9313,photo_album_68,4,6,40.0,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,____,-8798,poor,UNKNOWN NAME,giraffe_masai,right
9598.0,5167,photo_album_39,4,6,40.0,infant,"NNP GZC Car '3RED', Person 'B'",0,____,-9598,poor,UNKNOWN NAME,giraffe_masai,left
17076.0,2762,photo_album_79,9,1,90.0,infant,"NNP GZC Car '1RED', Person 'B'",1,IBEIS_PZ_1716,1989,ok,UNKNOWN SEX,zebra_plains,left
17077.0,2762,photo_album_79,9,1,90.0,infant,"NNP GZC Car '1RED', Person 'B'",0,IBEIS_PZ_1637,1910,ok,Female,zebra_plains,left
17078.0,2762,photo_album_79,9,1,90.0,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-17078,poor,UNKNOWN NAME,zebra_plains,left
13325.0,378,photo_album_82,4,6,40.0,juveniles- two year old,"NNP GZC Car '12WHITE', Person 'A'",1,IBEIS_PZ_0864,1137,good,Female,zebra_plains,left
15094.0,2440,photo_album_96,3,7,30.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",1,IBEIS_PZ_1442,1715,excellent,Male,zebra_plains,left
9376.0,514,photo_album_72,4,6,40.0,adult,"NNP GZC Car '13WHITE', Person 'B'",0,NNP_GIRM_0055,74,ok,Female,giraffe_masai,left
14322.0,2494,photo_album_9,6,4,60.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",1,IBEIS_PZ_1243,1516,good,Male,zebra_plains,left
13622.0,7354,photo_album_31,7,3,70.0,adult,"NNP GZC Car '7WHITE', Person 'B'",1,IBEIS_PZ_1531,1804,good,Male,zebra_plains,left
13623.0,7354,photo_album_31,7,3,70.0,infant,"NNP GZC Car '7WHITE', Person 'B'",0,____,-13623,poor,UNKNOWN NAME,zebra_plains,left
12714.0,3448,photo_album_84,4,6,40.0,adult,"NNP GZC Car '1WHITE', Person 'C'",0,IBEIS_PZ_0882,1155,good,Female,zebra_plains,right
9624.0,5109,photo_album_37,7,3,70.0,infant,"NNP GZC Car '3RED', Person 'A'",1,NNP_GIRM_0148,247,ok,Female,giraffe_masai,left
10420.0,7960,photo_album_47,2,8,20.0,adult,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",0,IBEIS_PZ_0229,502,ok,Female,zebra_plains,left
