ANNOTATION_ID,NID,NAME,SPECIES,SEX,AGE_MONTHS,EXEMPLAR_FLAG,IMAGE_QUALITY,IMAGE_YAW
254,45,45,elephant_savannah,UNKNOWN SEX,infant,0,UNKNOWN,,
255,45,45,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
256,214,214,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
257,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
258,65,65,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
259,216,216,giraffe_reticulated,UNKNOWN SEX,infant,0,UNKNOWN,,
260,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
261,218,-261,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
262,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
263,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
264,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
265,143,-159,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
266,45,45,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
267,221,221,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
268,222,222,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
269,223,223,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
270,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
271,224,-271,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
272,225,225,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
273,226,-273,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
274,227,-274,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
275,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
276,229,229,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
277,230,230,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
278,231,-278,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
279,232,-279,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
280,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
281,233,-281,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
282,234,234,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
283,235,235,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
284,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
285,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
286,237,-286,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
287,238,-287,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
288,26,26,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
289,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
290,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
291,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
292,241,-292,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
293,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
294,242,-294,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
295,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
