,,Share Proportion
1384,photo_album_40,70.0
2114,photo_album_39,70.0
2100,photo_album_37,70.0
1494,photo_album_53,70.0
1485,photo_album_53,70.0
1480,photo_album_26,70.0
2097,photo_album_64,70.0
273,photo_album_83,70.0
1423,photo_album_94,70.0
278,photo_album_24,70.0
278,photo_album_88,70.0
27,photo_album_11,70.0
1381,photo_album_89,70.0
2071,photo_album_66,70.0
138,photo_album_65,70.0
1664,photo_album_86,70.0
1374,photo_album_89,70.0
283,photo_album_88,70.0
1670,photo_album_86,70.0
287,photo_album_88,70.0
1372,photo_album_71,70.0
1645,photo_album_90,70.0
1515,photo_album_96,70.0
469,photo_album_43,70.0
789,photo_album_69,70.0
727,photo_album_23,70.0
2165,photo_album_96,70.0
1567,photo_album_53,70.0
787,photo_album_78,70.0
1564,photo_album_21,70.0
2181,photo_album_38,70.0
1558,photo_album_25,70.0
158,photo_album_42,70.0
22,photo_album_6,70.0
1551,photo_album_25,70.0
1640,photo_album_12,70.0
2117,photo_album_39,70.0
785,photo_album_44,70.0
23,photo_album_65,70.0
1624,photo_album_53,70.0
1540,photo_album_25,70.0
247,photo_album_37,70.0
153,photo_album_81,70.0
1528,photo_album_76,70.0
1526,photo_album_96,70.0
1372,photo_album_27,70.0
1681,photo_album_40,70.0
301,photo_album_16,70.0
455,photo_album_86,70.0
1203,photo_album_84,70.0
1203,photo_album_7,70.0
1193,photo_album_7,70.0
80,photo_album_95,70.0
42,photo_album_61,70.0
1179,photo_album_32,70.0
717,photo_album_33,70.0
737,photo_album_78,70.0
1175,photo_album_82,70.0
458,photo_album_88,70.0
1363,photo_album_71,70.0
1173,photo_album_95,70.0
1172,photo_album_93,70.0
1171,photo_album_93,70.0
463,photo_album_16,70.0
1697,photo_album_76,70.0
1158,photo_album_89,70.0
1158,photo_album_15,70.0
1157,photo_album_72,70.0
1157,photo_album_28,70.0
383,photo_album_100,70.0
1234,photo_album_84,70.0
1235,photo_album_7,70.0
2015,photo_album_95,70.0
1362,photo_album_27,70.0
1357,photo_album_27,70.0
135,photo_album_89,70.0
305,photo_album_16,70.0
132,photo_album_40,70.0
312,photo_album_88,70.0
1685,photo_album_15,70.0
1283,photo_album_46,70.0
1685,photo_album_89,70.0
127,photo_album_15,70.0
2054,photo_album_81,70.0
1686,photo_album_25,70.0
1269,photo_album_14,70.0
329,photo_album_73,70.0
358,photo_album_30,70.0
1686,photo_album_96,70.0
792,photo_album_83,70.0
379,photo_album_100,70.0
124,photo_album_39,70.0
1839,photo_album_36,70.0
681,photo_album_89,70.0
90,photo_album_17,70.0
-16036,photo_album_28,70.0
-15388,photo_album_72,70.0
-16035,photo_album_28,70.0
-18735,photo_album_63,70.0
992,photo_album_92,70.0
-13309,photo_album_82,70.0
-13312,photo_album_46,70.0
-18734,photo_album_63,70.0
87,photo_album_7,70.0
-18637,photo_album_44,70.0
-18636,photo_album_44,70.0
-18635,photo_album_44,70.0
-18634,photo_album_44,70.0
-18633,photo_album_44,70.0
-18630,photo_album_44,70.0
-18736,photo_album_63,70.0
-13306,photo_album_46,70.0
-15494,photo_album_75,70.0
-13285,photo_album_19,70.0
-12985,photo_album_86,70.0
999,photo_album_73,70.0
-9122,photo_album_61,70.0
-9094,photo_album_67,70.0
-9072,photo_album_61,70.0
-9067,photo_album_49,70.0
-9047,photo_album_95,70.0
865,photo_album_77,70.0
-9009,photo_album_49,70.0
999,photo_album_23,70.0
-13289,photo_album_82,70.0
-15401,photo_album_59,70.0
-16012,photo_album_28,70.0
-16013,photo_album_28,70.0
-18613,photo_album_63,70.0
-18612,photo_album_63,70.0
-18611,photo_album_63,70.0
-16557,photo_album_5,70.0
-16179,photo_album_10,70.0
953,photo_album_1,70.0
92,photo_album_61,70.0
-16559,photo_album_5,70.0
-16558,photo_album_5,70.0
-13623,photo_album_31,70.0
-16556,photo_album_5,70.0
-15386,photo_album_36,70.0
-13824,photo_album_3,70.0
-16368,photo_album_5,70.0
893,photo_album_63,70.0
-16188,photo_album_72,70.0
-16367,photo_album_5,70.0
-13847,photo_album_62,70.0
916,photo_album_68,70.0
97,photo_album_49,70.0
-16135,photo_album_32,70.0
-17372,photo_album_66,70.0
-17401,photo_album_45,70.0
915,photo_album_68,70.0
-17900,photo_album_44,70.0
-16072,photo_album_36,70.0
-16071,photo_album_36,70.0
984,photo_album_23,70.0
984,photo_album_73,70.0
-18469,photo_album_52,70.0
-18497,photo_album_99,70.0
