GID,share
240,0.0
2400,1.0
2404,0.0
2405,1.0
2406,1.0
2407,1.0
2408,1.0
2409,1.0
241,1.0
2415,1.0
2416,1.0
2417,0.0
2418,1.0
2419,1.0
242,0.0
2420,1.0
2421,1.0
2422,1.0
2423,1.0
2424,1.0
2425,1.0
2426,1.0
2427,1.0
2428,0.0
2429,1.0
243,1.0
2430,1.0
2431,1.0
2432,1.0
2433,1.0
2434,1.0
2435,1.0
2436,1.0
2437,1.0
2438,1.0
2439,1.0
244,1.0
2440,1.0
2441,1.0
2442,1.0
2443,1.0
2444,1.0
2445,1.0
2446,1.0
2447,1.0
2448,1.0
2449,1.0
245,1.0
2450,1.0
2451,0.0
2452,1.0
2453,1.0
2454,1.0
2455,0.0
2456,1.0
2457,1.0
2458,1.0
2459,1.0
246,1.0
2460,1.0
2461,1.0
2462,1.0
2463,1.0
2464,1.0
2465,1.0
2466,1.0
2467,1.0
2468,1.0
2469,1.0
247,1.0
2470,1.0
2471,1.0
2472,0.0
2473,0.0
2478,1.0
2479,1.0
248,1.0
2489,1.0
249,1.0
2490,1.0
2491,1.0
2492,1.0
2493,1.0
2494,1.0
2495,1.0
2496,1.0
250,1.0
251,1.0
252,1.0
253,1.0
2538,1.0
254,1.0
2541,1.0
2542,1.0
2543,1.0
2544,1.0
2545,1.0
2546,1.0
2547,1.0
2548,1.0
2549,1.0
255,1.0
2550,1.0
2551,1.0
2552,1.0
2553,1.0
2554,1.0
2555,0.0
2556,1.0
2557,0.0
2558,0.0
2559,0.0
256,1.0
2560,1.0
2561,0.0
2562,0.0
2563,1.0
2564,0.0
2565,1.0
2566,1.0
2567,1.0
2568,1.0
2569,1.0
257,1.0
2570,1.0
2571,1.0
2572,0.0
2573,1.0
2574,1.0
2575,1.0
2576,1.0
2577,1.0
2578,1.0
2579,1.0
258,1.0
2580,1.0
2581,1.0
2582,1.0
2583,1.0
2584,1.0
2585,1.0
2586,1.0
2587,0.0
2588,0.0
2589,1.0
259,1.0
2590,1.0
2591,1.0
2592,1.0
2594,1.0
2597,1.0
2598,1.0
26,1.0
260,0.0
2600,1.0
2601,1.0
2602,1.0
2603,1.0
2604,1.0
261,1.0
2610,1.0
2611,1.0
2613,1.0
2618,1.0
2619,1.0
262,1.0
2620,1.0
2621,1.0
2622,1.0
2623,1.0
2625,1.0
2628,1.0
2629,1.0
263,1.0
2630,1.0
2631,1.0
2632,1.0
2633,1.0
2634,1.0
2635,1.0
2636,1.0
2637,1.0
2638,1.0
2639,1.0
264,1.0
2640,1.0
2641,1.0
2643,1.0
2644,1.0
2646,1.0
2649,1.0
265,1.0
2650,1.0
2651,1.0
2653,1.0
2654,1.0
2655,1.0
2656,1.0
2657,1.0
2658,1.0
2659,1.0
266,1.0
2660,1.0
2661,1.0
2662,1.0
2663,1.0
2664,1.0
2665,1.0
2666,1.0
2667,1.0
2668,1.0
2669,1.0
267,1.0
2670,1.0
2674,1.0
2675,1.0
2676,1.0
2677,1.0
2678,1.0
2679,1.0
268,1.0
2680,1.0
2681,1.0
2683,1.0
2684,1.0
2685,1.0
2686,1.0
2687,1.0
2688,1.0
2689,1.0
269,1.0
2690,1.0
2691,1.0
2692,0.0
2693,1.0
2694,1.0
2695,0.0
2696,1.0
2697,1.0
2698,1.0
2699,1.0
27,1.0
270,1.0
2700,1.0
2701,1.0
2702,1.0
2703,1.0
2704,1.0
2705,1.0
2706,1.0
2707,1.0
2708,1.0
2709,1.0
271,1.0
2710,1.0
2711,1.0
2712,1.0
2713,1.0
2714,1.0
2715,1.0
2716,1.0
2717,1.0
2718,1.0
2719,1.0
272,1.0
2720,1.0
2721,1.0
2722,1.0
2723,1.0
2724,1.0
2725,1.0
2726,1.0
2727,1.0
2728,1.0
2729,1.0
273,1.0
2730,1.0
2731,1.0
2732,1.0
2733,1.0
2734,1.0
2735,1.0
2736,1.0
2737,1.0
2739,0.0
274,1.0
2740,1.0
2741,0.0
2742,0.0
2743,1.0
2744,1.0
2745,0.0
2746,1.0
2747,1.0
2748,1.0
2749,1.0
275,1.0
2750,1.0
2751,1.0
2752,1.0
2753,1.0
2754,1.0
2755,1.0
2756,1.0
2757,0.0
2758,0.0
2759,0.0
276,1.0
2760,0.0
2761,0.0
2762,0.0
2763,0.0
2764,1.0
2765,1.0
2766,0.0
2767,0.0
2768,1.0
2769,1.0
277,0.0
2770,1.0
2771,1.0
2772,0.0
2773,1.0
2774,1.0
2776,1.0
2777,1.0
2778,1.0
2779,1.0
278,1.0
2780,1.0
2781,1.0
2782,1.0
2783,1.0
2784,1.0
2785,1.0
2786,1.0
2787,1.0
2788,1.0
279,1.0
2790,1.0
2792,1.0
2794,1.0
2795,1.0
2796,1.0
2797,1.0
2798,1.0
2799,1.0
28,0.0
280,1.0
2800,1.0
2801,1.0
2802,1.0
2803,1.0
2804,1.0
2805,1.0
2806,1.0
2807,1.0
281,1.0
2810,1.0
2811,1.0
2812,1.0
2813,1.0
2814,1.0
2815,1.0
282,1.0
2820,1.0
2821,1.0
2823,1.0
2824,1.0
2825,1.0
2826,1.0
2827,1.0
2828,1.0
2829,1.0
283,1.0
2830,1.0
2831,1.0
2832,1.0
2833,1.0
2834,1.0
2835,1.0
2836,1.0
2837,1.0
2838,1.0
2839,1.0
284,1.0
2840,1.0
2841,1.0
2842,1.0
2843,1.0
2844,1.0
2845,1.0
2846,1.0
2847,1.0
2848,1.0
2849,1.0
285,1.0
2850,1.0
2851,1.0
2852,1.0
2853,1.0
2854,1.0
2855,1.0
2856,1.0
2858,1.0
2859,1.0
286,1.0
2860,1.0
2861,1.0
2862,1.0
2863,1.0
2864,1.0
2865,1.0
2866,1.0
2867,1.0
2868,1.0
2869,1.0
287,1.0
2870,1.0
2871,1.0
2872,1.0
2873,1.0
2874,1.0
2875,1.0
2876,1.0
2877,1.0
2878,1.0
288,1.0
2882,0.0
2883,1.0
2884,1.0
2885,1.0
2886,1.0
2887,1.0
2888,1.0
2889,1.0
2890,1.0
2891,1.0
2892,1.0
2893,1.0
2894,1.0
2895,1.0
2896,1.0
2897,1.0
2898,1.0
2899,1.0
29,1.0
2900,1.0
2901,1.0
2902,1.0
2903,1.0
2904,1.0
2905,1.0
2906,1.0
2907,1.0
2908,0.0
2909,1.0
2910,1.0
2913,1.0
2914,1.0
2915,1.0
2917,1.0
2918,1.0
2920,1.0
2921,1.0
2922,1.0
2923,1.0
2924,1.0
2925,1.0
2926,1.0
2927,1.0
2928,1.0
2929,1.0
2930,1.0
2931,1.0
2932,1.0
2933,1.0
2934,1.0
2935,1.0
2936,1.0
2938,1.0
2939,1.0
294,1.0
2940,1.0
2941,1.0
2942,1.0
2943,1.0
2944,1.0
295,1.0
2951,1.0
2952,1.0
2953,1.0
2954,1.0
2955,1.0
2956,1.0
2957,1.0
2958,1.0
2959,1.0
296,1.0
2960,1.0
2961,1.0
2962,1.0
2963,1.0
2964,1.0
2965,1.0
2967,1.0
2968,1.0
2969,1.0
2970,1.0
2971,1.0
2972,1.0
2973,1.0
2974,1.0
2975,1.0
2976,1.0
2977,1.0
2978,1.0
2979,1.0
2980,1.0
2981,1.0
2982,0.0
2983,1.0
2984,1.0
2985,1.0
2986,1.0
2987,1.0
2988,1.0
2989,1.0
2990,1.0
2991,1.0
2992,1.0
2993,1.0
2994,1.0
2995,1.0
2996,1.0
2997,1.0
2998,1.0
2999,1.0
3,1.0
30,1.0
3000,0.0
3001,1.0
3002,1.0
3003,1.0
3005,1.0
3006,1.0
3007,1.0
3008,0.0
3009,1.0
3010,1.0
3011,1.0
3012,1.0
3013,1.0
3014,1.0
3015,1.0
3016,1.0
3017,1.0
3019,1.0
3020,1.0
3021,1.0
3022,1.0
3023,1.0
3024,1.0
3025,1.0
3026,1.0
3027,1.0
3028,1.0
3029,1.0
3031,1.0
3032,1.0
3034,1.0
3035,1.0
3036,1.0
3037,1.0
3038,1.0
3039,1.0
3040,1.0
3041,1.0
3042,1.0
3043,1.0
3051,1.0
3052,1.0
3055,1.0
3057,1.0
3058,1.0
3059,1.0
306,1.0
3060,1.0
3061,1.0
3062,1.0
3063,1.0
3069,1.0
307,1.0
308,1.0
3080,1.0
3081,1.0
3082,1.0
3083,1.0
3084,1.0
3085,1.0
3086,1.0
3087,1.0
3088,1.0
3089,1.0
309,1.0
3090,1.0
3091,1.0
3093,1.0
3094,0.0
3095,1.0
3096,1.0
3097,1.0
3098,1.0
3099,1.0
31,1.0
310,1.0
3101,1.0
3102,1.0
3103,1.0
3104,1.0
3105,1.0
3106,1.0
3108,1.0
3109,1.0
311,1.0
3110,1.0
3111,1.0
3113,1.0
3114,1.0
3115,1.0
3116,1.0
3117,1.0
3118,1.0
3119,1.0
312,1.0
3120,1.0
3121,1.0
3122,1.0
3123,1.0
3124,1.0
3125,1.0
3126,1.0
3127,1.0
3128,1.0
3129,1.0
313,1.0
3130,0.0
3131,1.0
3132,1.0
3133,1.0
3134,1.0
3135,1.0
3136,1.0
3137,1.0
3138,1.0
3139,1.0
314,1.0
3140,1.0
3141,1.0
3142,1.0
3143,1.0
3144,1.0
3145,1.0
3146,1.0
3147,1.0
3148,1.0
3149,1.0
315,1.0
3150,0.0
3151,1.0
3152,1.0
3153,1.0
3154,1.0
3155,1.0
3156,1.0
3157,1.0
3158,1.0
3159,1.0
316,1.0
3160,1.0
3161,1.0
3162,1.0
3163,1.0
3164,1.0
3165,1.0
3166,1.0
3167,1.0
3168,1.0
317,1.0
318,0.0
319,0.0
3196,1.0
3197,1.0
3198,1.0
3199,1.0
32,1.0
320,1.0
3200,1.0
3201,1.0
3202,1.0
3203,1.0
3204,1.0
3205,1.0
3206,1.0
3207,1.0
3208,1.0
3209,0.0
321,1.0
