GID,Stats
628,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
1102,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
5739,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3312,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3116,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
8317,"{'variance': 180.6584362139918, 'standard_deviation': 13.440923934536338}"
8345,"{'variance': 135.55555555555557, 'standard_deviation': 11.642832797715322}"
497,"{'variance': 133.33333333333334, 'standard_deviation': 11.547005383792516}"
4913,"{'variance': 133.33333333333334, 'standard_deviation': 11.547005383792516}"
8330,"{'variance': 133.33333333333334, 'standard_deviation': 11.547005383792516}"
5677,"{'variance': 133.33333333333331, 'standard_deviation': 11.547005383792515}"
5014,"{'variance': 133.33333333333331, 'standard_deviation': 11.547005383792515}"
4914,"{'variance': 133.33333333333331, 'standard_deviation': 11.547005383792515}"
3466,"{'variance': 133.33333333333331, 'standard_deviation': 11.547005383792515}"
8335,"{'variance': 127.16049382716051, 'standard_deviation': 11.2765461834358}"
83,"{'variance': 120.98765432098767, 'standard_deviation': 10.999438818457406}"
531,"{'variance': 120.98765432098767, 'standard_deviation': 10.999438818457406}"
3404,"{'variance': 100.0, 'standard_deviation': 10.0}"
5737,"{'variance': 100.0, 'standard_deviation': 10.0}"
4985,"{'variance': 100.0, 'standard_deviation': 10.0}"
7933,"{'variance': 100.0, 'standard_deviation': 10.0}"
5002,"{'variance': 100.0, 'standard_deviation': 10.0}"
403,"{'variance': 100.0, 'standard_deviation': 10.0}"
54,"{'variance': 100.0, 'standard_deviation': 10.0}"
8325,"{'variance': 91.66666666666667, 'standard_deviation': 9.574271077563381}"
611,"{'variance': 88.88888888888883, 'standard_deviation': 9.42809041582063}"
8342,"{'variance': 80.0, 'standard_deviation': 8.94427190999916}"
1307,"{'variance': 78.125, 'standard_deviation': 8.838834764831844}"
8346,"{'variance': 66.66666666666667, 'standard_deviation': 8.16496580927726}"
1793,"{'variance': 61.72839506172835, 'standard_deviation': 7.856742013183858}"
4977,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5713,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4924,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
376,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
379,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
95,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
479,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5753,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5552,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7770,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4925,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
516,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3106,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5208,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
841,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
485,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3226,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3434,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7945,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5238,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
564,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5220,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4940,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7757,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7977,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4877,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7763,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
1061,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5704,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
8003,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3117,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
975,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3416,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4905,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
5003,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
