,,Share Proportion,Standard Deviation,Variance
4872,photo_album_51,90.0,0.0,0.0
4872,photo_album_58,90.0,,
4876,photo_album_51,90.0,14.142135623730951,200.0
4876,photo_album_77,70.0,,
4877,photo_album_35,90.0,7.0710678118654755,50.0
4877,photo_album_58,80.0,,
4887,photo_album_51,0.0,28.284271247461902,800.0
4887,photo_album_77,40.0,,
4893,photo_album_35,30.0,14.142135623730951,200.0
4893,photo_album_58,10.0,,
4895,photo_album_51,10.0,7.0710678118654755,50.0
4895,photo_album_77,20.0,,
4897,photo_album_58,80.0,7.0710678118654755,50.0
4897,photo_album_77,90.0,,
4899,photo_album_35,70.0,21.213203435596427,450.0
4899,photo_album_58,40.0,,
4900,photo_album_35,30.0,0.0,0.0
4900,photo_album_77,30.0,,
4901,photo_album_51,90.0,0.0,0.0
4901,photo_album_58,90.0,,
4905,photo_album_51,60.0,7.0710678118654755,50.0
4905,photo_album_77,70.0,,
4908,photo_album_58,90.0,7.0710678118654755,50.0
4908,photo_album_77,100.0,,
4909,photo_album_51,70.0,20.0,400.0
4909,photo_album_58,50.0,,
4909,photo_album_77,90.0,,
4913,photo_album_35,100.0,11.547005383792516,133.33333333333334
4913,photo_album_51,80.0,,
4913,photo_album_58,80.0,,
4914,photo_album_35,30.0,11.547005383792515,133.33333333333331
4914,photo_album_58,30.0,,
4914,photo_album_77,50.0,,
4922,photo_album_35,10.0,7.0710678118654755,50.0
4922,photo_album_51,0.0,,
4924,photo_album_58,50.0,7.0710678118654755,50.0
4924,photo_album_77,60.0,,
4925,photo_album_35,40.0,7.0710678118654755,50.0
4925,photo_album_58,30.0,,
4926,photo_album_35,0.0,26.457513110645905,700.0
4926,photo_album_58,10.0,,
4926,photo_album_77,50.0,,
4928,photo_album_58,20.0,28.284271247461902,800.0
4928,photo_album_77,60.0,,
4931,photo_album_35,60.0,0.0,0.0
4931,photo_album_58,60.0,,
4932,photo_album_35,30.0,21.213203435596427,450.0
4932,photo_album_51,60.0,,
4940,photo_album_51,0.0,7.0710678118654755,50.0
4940,photo_album_58,10.0,,
496,photo_album_10,80.0,16.923940235253127,286.4197530864197
496,photo_album_20,100.0,,
496,photo_album_28,88.88888888888889,,
496,photo_album_72,60.0,,
4968,photo_album_86,50.0,21.213203435596427,450.0
4968,photo_album_91,20.0,,
497,photo_album_10,80.0,11.547005383792516,133.33333333333334
497,photo_album_28,80.0,,
497,photo_album_36,60.0,,
4970,photo_album_86,20.0,0.0,0.0
4970,photo_album_91,20.0,,
4977,photo_album_4,10.0,7.0710678118654755,50.0
4977,photo_album_86,20.0,,
4979,photo_album_86,20.0,7.0710678118654755,50.0
4979,photo_album_91,10.0,,
4982,photo_album_86,20.0,7.0710678118654755,50.0
4982,photo_album_91,30.0,,
4985,photo_album_4,30.0,10.0,100.0
4985,photo_album_86,20.0,,
4985,photo_album_91,10.0,,
4986,photo_album_86,10.0,14.142135623730951,200.0
4986,photo_album_91,30.0,,
4993,photo_album_86,10.0,7.0710678118654755,50.0
4993,photo_album_91,0.0,,
4996,photo_album_4,40.0,14.142135623730951,200.0
4996,photo_album_91,20.0,,
5002,photo_album_4,50.0,10.0,100.0
5002,photo_album_86,40.0,,
5002,photo_album_91,30.0,,
5003,photo_album_4,60.0,7.0710678118654755,50.0
5003,photo_album_86,70.0,,
5005,photo_album_4,100.0,0.0,0.0
5005,photo_album_91,100.0,,
5009,photo_album_4,50.0,20.816659994661325,433.3333333333333
5009,photo_album_86,90.0,,
5009,photo_album_91,80.0,,
5010,photo_album_4,20.0,35.35533905932738,1250.0
5010,photo_album_86,70.0,,
5014,photo_album_4,40.0,11.547005383792515,133.33333333333331
5014,photo_album_86,60.0,,
5014,photo_album_91,60.0,,
5019,photo_album_4,100.0,0.0,0.0
5019,photo_album_86,100.0,,
5021,photo_album_4,50.0,15.275252316519467,233.33333333333334
5021,photo_album_86,80.0,,
5021,photo_album_91,60.0,,
503,photo_album_20,10.0,5.773502691896257,33.33333333333333
503,photo_album_28,0.0,,
503,photo_album_59,0.0,,
505,photo_album_28,80.0,21.213203435596427,450.0
505,photo_album_36,50.0,,
516,photo_album_10,100.0,7.0710678118654755,50.0
516,photo_album_72,90.0,,
5174,photo_album_39,40.0,0.0,0.0
5174,photo_album_64,40.0,,
5178,photo_album_39,30.0,21.213203435596427,450.0
5178,photo_album_64,0.0,,
5208,photo_album_39,70.0,7.0710678118654755,50.0
5208,photo_album_64,60.0,,
5220,photo_album_39,60.0,7.0710678118654755,50.0
5220,photo_album_64,70.0,,
5226,photo_album_39,50.0,21.213203435596427,450.0
5226,photo_album_64,20.0,,
5238,photo_album_39,0.0,7.0710678118654755,50.0
5238,photo_album_64,10.0,,
531,photo_album_20,55.55555555555556,10.999438818457406,120.98765432098767
531,photo_album_59,40.0,,
533,photo_album_10,100.0,7.0710678118654755,50.0
533,photo_album_72,90.0,,
536,photo_album_10,60.0,14.142135623730951,200.0
536,photo_album_20,80.0,,
5369,photo_album_2,10.0,14.142135623730951,200.0
5369,photo_album_81,30.0,,
54,photo_album_57,10.0,10.0,100.0
54,photo_album_8,30.0,,
54,photo_album_85,20.0,,
5450,photo_album_2,10.0,0.0,0.0
5450,photo_album_81,10.0,,
550,photo_album_20,100.0,21.213203435596427,450.0
550,photo_album_59,70.0,,
5500,photo_album_2,40.0,21.213203435596427,450.0
5500,photo_album_81,70.0,,
5552,photo_album_2,60.0,7.0710678118654755,50.0
5552,photo_album_65,70.0,,
556,photo_album_28,20.0,21.213203435596427,450.0
556,photo_album_72,50.0,,
56,photo_album_57,10.0,28.284271247461902,800.0
56,photo_album_8,50.0,,
564,photo_album_10,60.0,7.0710678118654755,50.0
564,photo_album_72,50.0,,
5657,photo_album_3,30.0,20.0,400.0
5657,photo_album_41,50.0,,
5657,photo_album_62,70.0,,
5666,photo_album_24,100.0,28.284271247461902,800.0
5666,photo_album_3,60.0,,
5668,photo_album_24,80.0,21.213203435596427,450.0
5668,photo_album_62,50.0,,
5674,photo_album_41,90.0,28.284271247461902,800.0
5674,photo_album_62,50.0,,
5677,photo_album_3,40.0,11.547005383792515,133.33333333333331
5677,photo_album_41,60.0,,
5677,photo_album_62,60.0,,
5692,photo_album_24,0.0,0.0,0.0
5692,photo_album_62,0.0,,
5704,photo_album_24,0.0,7.0710678118654755,50.0
5704,photo_album_41,10.0,,
5708,photo_album_41,40.0,0.0,0.0
5708,photo_album_62,40.0,,
5713,photo_album_3,90.0,7.0710678118654755,50.0
5713,photo_album_41,100.0,,
5717,photo_album_3,0.0,0.0,0.0
5717,photo_album_62,0.0,,
5734,photo_album_24,0.0,0.0,0.0
