AID,GID,Album,Shared,Not Shared,Proportion,AGE,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
9681,1332,photo_album_89,10,0,100,infant,0,____,-9681,good,UNKNOWN NAME,giraffe_masai,right
9682,1332,photo_album_15,9,0,100,infant,0,____,-9682,ok,UNKNOWN NAME,giraffe_masai,right
9682,1332,photo_album_89,10,0,100,infant,0,____,-9682,ok,UNKNOWN NAME,giraffe_masai,right
9683,1332,photo_album_15,9,0,100,infant,0,____,-9683,ok,UNKNOWN NAME,giraffe_masai,right
9683,1332,photo_album_89,10,0,100,infant,0,____,-9683,ok,UNKNOWN NAME,giraffe_masai,right
9684,1332,photo_album_15,9,0,100,infant,0,____,-9684,ok,UNKNOWN NAME,giraffe_masai,right
9684,1332,photo_album_89,10,0,100,infant,0,____,-9684,ok,UNKNOWN NAME,giraffe_masai,right
12393,1332,photo_album_15,9,0,100,infant,0,____,-12393,junk,UNKNOWN NAME,zebra_plains,right
12393,1332,photo_album_89,10,0,100,infant,0,____,-12393,junk,UNKNOWN NAME,zebra_plains,right
12394,1332,photo_album_15,9,0,100,infant,0,____,-12394,good,UNKNOWN NAME,zebra_plains,right
12394,1332,photo_album_89,10,0,100,infant,0,____,-12394,good,UNKNOWN NAME,zebra_plains,right
15401,550,photo_album_20,10,0,100,infant,0,____,-15401,ok,UNKNOWN NAME,zebra_plains,right
11508,8797,photo_album_68,10,0,100,infant,1,IBEIS_PZ_0403,676,good,UNKNOWN SEX,zebra_plains,left
8926,8322,photo_album_11,9,0,100,"juvenille, two year old",0,NNP_GIRM_0068,90,good,Male,giraffe_masai,left
13299,388,photo_album_46,10,0,100,infant,1,IBEIS_PZ_1480,1753,good,UNKNOWN SEX,zebra_plains,left
9353,509,photo_album_28,9,0,100,adult,0,NNP_GIRM_0099,132,ok,Male,giraffe_masai,frontleft
14395,2491,photo_album_9,9,1,90,"juvenille, two year old",0,IBEIS_PZ_1294,1567,good,Male,zebra_plains,left
13839,5674,photo_album_41,9,1,90,infant,0,IBEIS_PZ_1725,1998,ok,Female,zebra_plains,left
15452,273,photo_album_75,9,1,90,adult,0,IBEIS_PZ_0937,1210,ok,Female,zebra_plains,left
15981,591,photo_album_10,9,1,90,infant,0,____,-15981,good,UNKNOWN NAME,zebra_plains,right
15982,591,photo_album_10,9,1,90,infant,0,____,-15982,ok,UNKNOWN NAME,zebra_plains,right
9347,586,photo_album_59,9,1,90,infant,0,____,-9347,ok,UNKNOWN NAME,giraffe_masai,back
9348,586,photo_album_59,9,1,90,infant,0,____,-9348,good,UNKNOWN NAME,giraffe_masai,backright
9349,586,photo_album_59,9,1,90,infant,0,____,-9349,junk,UNKNOWN NAME,giraffe_masai,right
9130,3086,photo_album_6,9,1,90,adult,0,NNP_GIRM_0028,33,poor,Male,giraffe_masai,left
9269,5713,photo_album_3,9,1,90,"juvenille, one year old",1,NNP_GIRM_0149,253,ok,Male,giraffe_masai,frontleft
11541,8829,photo_album_78,9,1,90,adult,1,IBEIS_PZ_0384,657,good,Female,zebra_plains,left
17681,6698,photo_album_45,9,1,90,adult,1,IBEIS_PZ_1742,2015,good,Male,zebra_plains,left
12722,3151,photo_album_61,9,1,90,infant,1,IBEIS_PZ_0905,1178,good,Female,zebra_plains,left
12723,3151,photo_album_61,9,1,90,infant,0,IBEIS_PZ_0989,1262,poor,UNKNOWN SEX,zebra_plains,left
16020,542,photo_album_36,9,1,90,infant,0,____,-16020,ok,UNKNOWN NAME,zebra_plains,right
16021,542,photo_album_36,9,1,90,infant,0,____,-16021,poor,UNKNOWN NAME,zebra_plains,right
9694,1281,photo_album_89,9,1,90,adult,0,NNP_GIRM_0151,273,ok,Male,giraffe_masai,frontleft
13311,405,photo_album_46,9,1,90,infant,0,____,-13311,excellent,UNKNOWN NAME,zebra_plains,right
9043,8331,photo_album_42,9,1,90,adult,0,NNP_GIRM_0022,27,ok,Female,giraffe_masai,left
9126,3121,photo_album_6,9,1,90,adult,0,NNP_GIRM_0070,92,ok,Female,giraffe_masai,right
9127,3121,photo_album_6,9,1,90,adult,0,NNP_GIRM_0031,42,good,Female,giraffe_masai,frontleft
13303,355,photo_album_46,9,1,90,infant,0,____,-13303,good,UNKNOWN NAME,zebra_plains,right
9528,1061,photo_album_90,9,1,90,adult,0,NNP_GIRM_0143,234,good,Female,giraffe_masai,left
13397,82,photo_album_85,9,1,90,infant,0,____,-13397,ok,UNKNOWN NAME,zebra_plains,right
15564,282,photo_album_97,9,1,90,infant,1,IBEIS_PZ_1556,1829,ok,UNKNOWN SEX,zebra_plains,left
15565,282,photo_album_97,9,1,90,infant,1,IBEIS_PZ_1560,1833,ok,UNKNOWN SEX,zebra_plains,frontleft
12544,3451,photo_album_92,9,1,90,infant,0,IBEIS_PZ_0862,1135,good,Male,zebra_plains,right
12545,3451,photo_album_92,9,1,90,infant,1,IBEIS_PZ_0081,354,ok,Male,zebra_plains,left
15577,956,photo_album_83,9,1,90,adult,0,IBEIS_PZ_1384,1657,ok,UNKNOWN SEX,zebra_plains,right
15578,956,photo_album_83,9,1,90,infant,0,____,-15578,good,UNKNOWN NAME,zebra_plains,right
