GID,Shared,Not Shared,Total,Proportion
8353,33,7,40,82.5
496,31,7,38,81.57894736842105
8322,48,11,59,81.35593220338983
8160,8,2,10,80.0
3437,8,2,10,80.0
7638,8,2,10,80.0
356,8,2,10,80.0
7276,8,2,10,80.0
358,8,2,10,80.0
8008,8,2,10,80.0
7432,8,2,10,80.0
242,16,4,20,80.0
7032,8,2,10,80.0
370,8,2,10,80.0
3316,8,2,10,80.0
3420,8,2,10,80.0
3248,8,2,10,80.0
2976,8,2,10,80.0
3077,8,2,10,80.0
3071,8,2,10,80.0
4259,8,2,10,80.0
3628,8,2,10,80.0
6471,8,2,10,80.0
6962,8,2,10,80.0
77,8,2,10,80.0
3088,8,2,10,80.0
389,8,2,10,80.0
26,8,2,10,80.0
3464,8,2,10,80.0
3069,8,2,10,80.0
6734,8,2,10,80.0
3122,16,4,20,80.0
3478,8,2,10,80.0
3288,8,2,10,80.0
2556,8,2,10,80.0
7532,16,4,20,80.0
670,8,2,10,80.0
3136,8,2,10,80.0
3484,8,2,10,80.0
3455,16,4,20,80.0
3349,8,2,10,80.0
3485,16,4,20,80.0
385,8,2,10,80.0
3365,8,2,10,80.0
3089,8,2,10,80.0
3609,8,2,10,80.0
212,8,2,10,80.0
2330,8,2,10,80.0
469,8,2,10,80.0
5574,8,2,10,80.0
1315,16,4,20,80.0
1316,8,2,10,80.0
1331,8,2,10,80.0
5666,16,4,20,80.0
878,8,2,10,80.0
146,8,2,10,80.0
4876,16,4,20,80.0
1510,8,2,10,80.0
1523,8,2,10,80.0
4873,8,2,10,80.0
8746,8,2,10,80.0
1664,8,2,10,80.0
8627,8,2,10,80.0
1741,8,2,10,80.0
1745,8,2,10,80.0
8521,8,2,10,80.0
8517,8,2,10,80.0
1766,8,2,10,80.0
4821,8,2,10,80.0
179,8,2,10,80.0
4819,8,2,10,80.0
4814,8,2,10,80.0
5723,8,2,10,80.0
5744,8,2,10,80.0
8796,8,2,10,80.0
8809,8,2,10,80.0
5460,8,2,10,80.0
1092,8,2,10,80.0
1005,8,2,10,80.0
980,8,2,10,80.0
98,8,2,10,80.0
5131,8,2,10,80.0
5142,8,2,10,80.0
1032,8,2,10,80.0
1045,8,2,10,80.0
5022,8,2,10,80.0
9333,8,2,10,80.0
1073,8,2,10,80.0
5017,8,2,10,80.0
1094,8,2,10,80.0
494,8,2,10,80.0
5228,8,2,10,80.0
4995,8,2,10,80.0
9174,8,2,10,80.0
499,8,2,10,80.0
9120,8,2,10,80.0
9058,8,2,10,80.0
9035,8,2,10,80.0
5345,8,2,10,80.0
8943,8,2,10,80.0
1238,8,2,10,80.0
5385,8,2,10,80.0
1874,8,2,10,80.0
3334,8,2,10,80.0
8274,8,2,10,80.0
8215,8,2,10,80.0
2024,8,2,10,80.0
604,8,2,10,80.0
6,8,2,10,80.0
1992,8,2,10,80.0
8257,8,2,10,80.0
2120,8,2,10,80.0
8329,32,8,40,80.0
453,8,2,10,80.0
6139,8,2,10,80.0
4587,8,2,10,80.0
6220,8,2,10,80.0
462,8,2,10,80.0
204,8,2,10,80.0
6124,8,2,10,80.0
5763,8,2,10,80.0
641,8,2,10,80.0
449,8,2,10,80.0
5765,8,2,10,80.0
2322,8,2,10,80.0
2320,8,2,10,80.0
360,39,10,49,79.59183673469387
1300,15,4,19,78.94736842105263
1769,7,2,9,77.77777777777777
1986,7,2,9,77.77777777777777
1823,7,2,9,77.77777777777777
2565,7,2,9,77.77777777777777
3283,7,2,9,77.77777777777777
1609,7,2,9,77.77777777777777
8127,7,2,9,77.77777777777777
388,23,7,30,76.66666666666667
7613,6,2,8,75.0
354,15,5,20,75.0
5768,15,5,20,75.0
1824,6,2,8,75.0
1304,6,2,8,75.0
7772,15,5,20,75.0
382,15,5,20,75.0
1301,14,5,19,73.6842105263158
611,14,5,19,73.6842105263158
3204,14,5,19,73.6842105263158
8351,36,13,49,73.46938775510205
5009,22,8,30,73.33333333333333
8330,22,8,30,73.33333333333333
497,22,8,30,73.33333333333333
